course_id,year,course_name,rating,slope,tee,hole1_yardage,hole1_par,hole1_hdcp,hole2_yardage,hole2_par,hole2_hdcp,hole3_yardage,hole3_par,hole3_hdcp,hole4_yardage,hole4_par,hole4_hdcp,hole5_yardage,hole5_par,hole5_hdcp,hole6_yardage,hole6_par,hole6_hdcp,hole7_yardage,hole7_par,hole7_hdcp,hole8_yardage,hole8_par,hole8_hdcp,hole9_yardage,hole9_par,hole9_hdcp,hole10_yardage,hole10_par,hole10_hdcp,hole11_yardage,hole11_par,hole11_hdcp,hole12_yardage,hole12_par,hole12_hdcp,hole13_yardage,hole13_par,hole13_hdcp,hole14_yardage,hole14_par,hole14_hdcp,hole15_yardage,hole15_par,hole15_hdcp,hole16_yardage,hole16_par,hole16_hdcp,hole17_yardage,hole17_par,hole17_hdcp,hole18_yardage,hole18_par,hole18_hdcp
1,2023,Rogues Roost Golf Club,69.4,122,white,370,4,8,359,4,12,429,4,6,143,3,16,507,5,2,146,3,18,363,4,10,320,4,14,545,5,4,485,5,3,148,3,15,361,4,11,529,5,1,159,3,13,369,4,7,364,4,9,131,3,17,392,4,5
2,2024,Amsterdam Municipal Golf Course,70.6,111,white,380,4,7,382,4,15,468,5,13,145,3,17,512,5,11,410,4,1,435,4,3,213,3,9,371,4,5,443,5,12,394,4,10,337,4,18,211,3,6,414,4,8,393,4,2,140,3,14,301,4,16,376,4,4
3,2025,Pocono Manor Golf Course,67.3,114,white,525,5,15,475,4,1,180,3,13,305,4,11,315,4,9,402,4,3,77,3,17,330,4,7,375,4,5,505,5,10,375,4,6,450,5,16,190,3,8,485,5,18,420,4,4,310,4,12,415,4,2,170,3,14
4,2026,Tarry Brae Golf Course,71.6,126,green,383,4,9,360,4,3,385,4,13,192,3,5,360,4,7,458,5,17,154,3,15,387,4,1,473,5,11,451,5,18,179,3,6,355,4,14,410,4,2,384,4,8,367,4,16,397,4,4,183,3,12,511,5,10
